"";"T0911_1";"T0912_1";"T0912_2";"T0912_3";"T0913_1";"T0914_1";"T0915_1";"T0916_1";"T0917_1";"T0918_1";"T0919_1";"T0920_1";"T0921_1";"T0922_1";"T0922_2";"T0923_1";"T0924_1";"T0925_1";"T0926_1";"T0927_1";"T0928_1";"T0929_1";"T0929_2";"T0929_3";"T0930_1";"T0931_1";"T0931_2";"T0931_3";"T0932_1";"T0933_1";"T0933_2";"T0933_3";"T0933_4";"T0933_5";"T0933_6";"T0934_1";"T0935_1";"T0935_2";"T0936_1";"T0936_2";"T0936_3";"T0936_4";"T0936_5";"T0936_6";"T0936_7";"T0936_8";"T0936_9";"T0936_10";"T0936_11";"T0936_12";"T0937_1";"T0937_2";"T0937_3";"T0937_4";"T0937_5";"T0937_6";"T0937_7";"T0937_8";"T0938_1";"T0938_2";"T0938_3";"T0938_4";"T0938_5";"T0938_6";"T0938_7";"T0938_8";"T0938_9";"T0938_10";"T0939_1";"T0939_2";"T0939_3";"T0939_4";"T0939_5";"T0939_6";"T0939_7";"T0939_8";"T0940_1";"T0940_2";"T0940_3";"T0940_4";"T0940_5";"T0940_6";"T0940_7";"T0940_8";"T0940_9";"T0940_10";"T0940_11";"T0941_1";"T0941_2";"T0941_3";"T0941_4";"T0941_5";"T0941_6";"T0941_7";"T0941_8";"T0941_9";"T0941_10";"T0941_11";"T0941_12";"T0941_13";"T0941_14";"T0941_15";"T0941_16";"T0941_17";"T0941_18";"T0941_19";"T0941_20";"T0941_21";"T0941_22";"T0941_23";"T0941_24";"T0941_25";"T0941_26";"T0941_27";"T0941_28";"T0941_29";"T0941_30";"T0942_1";"T0942_2";"T0942_3";"T0942_4";"T0942_5";"T0942_6";"T0942_7";"T0942_8";"T0942_9";"T0943_1";"T0943_2";"T0943_3";"T0943_4";"T0943_5";"T0943_6";"T0943_7";"T0943_8";"T0943_9";"T0944_1";"T0945_1";"T0946_1";"T0946_2";"T0947_1";"T0947_2";"T0947_3";"T0947_4";"T0947_5";"T0947_6";"T0947_7";"T0948_1";"T0949_1";"T0949_2";"T0949_3";"T0949_4";"T0949_5";"T0949_6";"T0949_7";"T0950_1";"T0950_2";"T0950_3";"T0950_4";"T0950_5";"T0950_6";"T0950_7";"T0950_8";"T0950_9";"T0951_1";"T0951_2";"T0951_3";"T0951_4";"T0951_5";"T0951_6";"T0951_7";"T0951_8";"T0951_9";"T0952_1";"T0952_2";"T0952_3";"T0952_4";"T0953_1";"T0953_2";"T0953_3";"T0953_4";"T0953_5";"T0953_6";"T0953_7";"T0953_8";"T0953_9";"T0953_10";"T0954_1";"T0955_1";"T0955_2";"T0955_3";"T0955_4";"T0955_5";"T0955_6";"T0955_7";"T0955_8";"T0955_9";"T0955_10";"T0955_11";"T0955_12";"T0955_13";"T0956_1";"T0956_2";"T0956_3";"T0956_4";"T0956_5";"T0956_6";"T0956_7";"T0956_8";"T0956_9";"T0956_10";"T0956_11";"T0956_12";"T0956_13";"T0956_14";"T0956_15";"T0956_16";"T0956_17";"T0956_18";"T0956_19";"T0956_20";"T0956_21";"T0956_22";"T0956_23";"T0956_24";"T0956_25";"T0956_26";"T0956_27";"T0956_28";"T0956_29";"T0956_30";"T0956_31";"T0956_32";"T0956_33";"T0956_34";"T0957_1";"T0957_2";"T0957_3";"T0957_4";"T0957_5";"T0958_1";"T0958_2";"T0959_1";"T0959_2";"T0959_3";"T0959_4";"T0960_1";"T0960_2";"T0960_3";"T0960_4";"T0960_5";"T0960_6";"T0960_7";"T0960_8";"T0960_9";"T0961_1";"T0961_2";"T0961_3";"T0961_4";"T0961_5";"T0961_6";"T0962_1";"T0962_2";"T0962_3";"T0962_4";"T0962_5";"T0962_6";"T0963_1";"T0963_2";"T0963_3";"T0963_4";"T0963_5";"T0963_6";"T0963_7";"T0964_1";"T0964_2";"T0965_1";"T0965_2";"T0965_3";"T0965_4";"T0965_5";"T0965_6";"T0965_7";"T0965_8";"T0965_9";"T0966_1";"T0966_2";"T0966_3";"T0966_4";"T0967_1";"T0967_2";"T0967_3";"T0967_4";"T0967_5";"T0968_1";"T0968_2";"T0968_3";"T0968_4";"T0968_5";"T0968_6";"T0969_1";"T0969_2";"T0969_3";"T0970_1";"T0970_2";"T0970_3";"T0970_4";"T0970_5";"T0970_6";"T0970_7";"T0970_8";"T0970_9";"T0970_10";"T0971_1";"T0972_1";"T0973_1";"T0973_2";"T0973_3";"T0973_4";"T0973_5";"T0973_6";"T0973_7";"T0973_8";"T0973_9";"T0973_10";"T0973_11";"T0973_12";"T0973_13";"T0973_14";"T0973_15";"T0974_1";"T0975_1";"T0975_2";"T0975_3";"T0975_4";"T0975_5";"T0975_6";"T0975_7";"T0975_8";"T0976_1";"T0976_2";"T0976_3";"T0977_1";"T0977_2";"T0977_3";"T0977_4";"T0977_5";"T0977_6";"T0977_7";"T0977_8";"T0978_1";"T0978_2";"T0978_3";"T0978_4";"T0978_5";"T0978_6";"T0978_7";"T0978_8";"T0978_9";"T0978_10";"T0978_11";"T0979_1";"T0979_2";"T0979_3";"T0979_4";"T0980_1";"T0981_1";"T0981_2";"T0981_3";"T0982_1";"T0982_2";"T0982_3";"T0982_4";"T0982_5";"T0982_6";"T0983_1";"T0984_1";"T0985_1";"T0986_1";"T0987_1";"T0988_1";"T0988_2";"T0989_1";"T0989_2";"T0989_3";"T0990_1";"T0990_2";"T0991_1";"T0992_1";"T0993_1";"T0993_2";"T0993_3";"T0993_4";"T0993_5";"T0993_6";"T0994_1";"T0994_2";"T0994_3";"T0994_4";"T0994_5";"T0994_6";"T0995_1";"T0995_2";"T0995_3";"T0995_4";"T0995_5";"T0996_1";"T0996_2";"T0996_3";"T0996_4";"T0996_5";"T0996_6";"T0997_1";"T0997_2";"T0997_3";"T0997_4";"T0997_5";"T0997_6";"T0997_7";"T0997_8";"T0997_9";"T0997_10";"T0997_11";"T0997_12";"T0997_13";"T0997_14";"T0997_15";"T0997_16";"T0997_17";"T0997_18";"T0997_19";"T0997_20";"T0997_21";"T0997_22";"T0997_23";"T0997_24";"T0997_25";"T0997_26";"T0997_27";"T0997_28";"T0998_1";"T0998_2";"T0998_3";"T0998_4";"T0998_5";"T0998_6";"T0998_7";"T0998_8";"T0998_9";"T0998_10";"T0998_11";"T0998_12";"T0998_13";"T0998_14";"T0999_1";"T0999_2";"T0999_3";"T0999_4"
"Vicia cracca L.";;;;;;;;;;;;;;".";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Thapsia villosa L.";;;;;;;;;;;;;;".";"+";;;;;;;;;;;;;;;;;;;;;;;;".";".";".";"+";".";"+";"+";".";"+";".";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";"+";".";".";".";"+";".";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";".";"+";".";".";".";".";".";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";"+";;;"+";"+";"+";"+";".";".";".";".";"+";".";".";".";".";;;;;;;".";"+";".";"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Avenula pratensis (L.) Dumort.";;;;;;;;;;;;;;".";"+";;;;;;;;;;;;;;;;;;;;;;"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Silene alba (Miller) E. H. L. Krause =Melandryum divarica";;;;;;;;;;;;;;".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hieracium murorum L.";;;;;;;;;;;;;;".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";".";".";".";"+";".";"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";".";".";;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lithospermum fruticosum";;;;;;;;;;;;;;;;"+";"+";;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"1";"+";"1";"1";"+";"+";".";".";"1";"1";"1";"1";"2";"2";".";".";".";".";"1";".";".";".";".";".";".";"1";"+";".";".";".";".";"+";"+";".";".";".";".";".";"+";"1";".";".";".";".";".";"+";"+";;"+";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"1";".";".";".";".";".";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";".";"+";"+";".";"1";"2";"3";"2";"1";"2";"1";"1";"1";"1";"+";"+";;;;;;;;;;;;"+";"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";"1";"+";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;
"Teucrium gnaphalodes L'her.";;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";"+";".";"+";"+";"1";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";".";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";".";".";".";"+";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Phlomis lychnitis L.";;;;;;;;;;;;;;;;"1";"+";;;;;;;;;;;;;;;;;;;;;;"+";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";"+";".";".";"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sideritis scordioides L.";;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ruta montana (L.) L.";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;"+";".";".";"+";".";".";".";".";".";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Convolvulus lineatus L.";;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Artemisia herba-alba Asso";;;;;;;;;;;;;;;;"+";"1";"+";;;;;;;;;;;;;;;;;;;;;".";".";".";".";"+";".";".";".";".";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Agrostis turolensis";;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stipa parviflora Desf.";;;;;;;;;;;;;;;;"+";"1";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";"+";"+";"+";"+";"+";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Silene otites (L.) Wibel";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";"+";".";".";".";".";;;;;;;;;"+";".";"+";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Astragalus incanus L.";;;;;;;;;;;;;;;;"+";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";"+";"+";"+";"1";".";;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Euphorbia serrata L.";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";".";"+";".";"+";".";".";".";"1";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;".";".";"+";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Plantago albicans L.";;;;;;;;;;;;;;;;"+";"2";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"2";"1";"1";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Scorzonera crispatula (Boiss.) Boiss.";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cerastium pumilum Curtis";;;;;;;;;;;;;;;;"1";;;;;;;;;;"1";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";"+";"+";".";".";"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
