"";"T1506_1";"T1507_1";"T1508_1";"T1509_1";"T1509_2";"T1509_3";"T1509_4";"T1510_1";"T1510_2";"T1510_3";"T1510_4";"T1510_5";"T1510_6";"T1510_7";"T1510_8";"T1511_1";"T1512_1";"T1512_2";"T1512_3";"T1512_4";"T1512_5";"T1512_6";"T1512_7";"T1512_8";"T1512_9";"T1512_10";"T1512_11";"T1512_12";"T1512_13";"T1512_14";"T1512_15";"T1512_16";"T1512_17";"T1512_18";"T1512_19";"T1512_20";"T1512_21";"T1513_1";"T1513_2";"T1513_3";"T1514_1";"T1514_2";"T1514_3";"T1514_4";"T1514_5";"T1515_1";"T1516_1";"T1517_1";"T1517_2";"T1518_1";"T1519_1";"T1520_1";"T1520_2";"T1520_3";"T1521_1";"T1521_2";"T1521_3";"T1521_4";"T1521_5";"T1521_6";"T1521_7";"T1521_8";"T1521_9";"T1521_10";"T1521_11";"T1521_12";"T1521_13";"T1521_14";"T1521_15";"T1521_16";"T1521_17";"T1521_18";"T1521_19";"T1521_20";"T1521_21";"T1521_22";"T1521_23";"T1521_24";"T1521_25";"T1521_26";"T1521_27";"T1521_28";"T1521_29";"T1521_30";"T1522_1";"T1522_2";"T1522_3";"T1523_1";"T1524_1";"T1525_1";"T1526_1";"T1527_1";"T1528_1";"T1529_1";"T1530_1";"T1530_2";"T1531_1";"T1531_2";"T1531_3";"T1531_4";"T1531_5";"T1531_6";"T1531_7";"T1531_8";"T1531_9";"T1531_10";"T1531_11";"T1531_12";"T1531_13";"T1531_14";"T1531_15";"T1532_1";"T1532_2";"T1532_3";"T1532_4";"T1532_5";"T1533_1";"T1533_2";"T1534_1";"T1534_2";"T1535_1";"T1535_2";"T1536_1";"T1536_2";"T1537_1";"T1537_2";"T1537_3";"T1537_4";"T1538_1";"T1538_2";"T1539_1";"T1539_2";"T1539_3";"T1540_1";"T1540_2";"T1541_1";"T1541_2";"T1542_1";"T1542_2";"T1543_1";"T1543_2";"T1544_1";"T1544_2";"T1544_3";"T1545_1";"T1546_1";"T1546_2";"T1547_1";"T1547_2";"T1547_3";"T1547_4";"T1548_1";"T1548_2";"T1548_3";"T1548_4";"T1549_1";"T1549_2";"T1550_1";"T1551_1";"T1552_1";"T1553_1";"T1554_1";"T1554_2";"T1554_3";"T1554_4";"T1555_1";"T1555_2";"T1555_3";"T1555_4";"T1555_5";"T1555_6";"T1556_1";"T1556_2";"T1556_3";"T1556_4";"T1557_1";"T1557_2";"T1557_3";"T1557_4";"T1557_5";"T1557_6";"T1558_1";"T1558_2";"T1558_3";"T1558_4";"T1558_5";"T1558_6";"T1559_1";"T1559_2";"T1559_3";"T1559_4";"T1560_1";"T1560_2";"T1560_3";"T1560_4";"T1560_5";"T1560_6";"T1561_1";"T1561_2";"T1561_3";"T1561_4";"T1561_5";"T1561_6";"T1562_1";"T1562_2";"T1562_3";"T1562_4";"T1562_5";"T1562_6";"T1562_7";"T1562_8";"T1562_9";"T1563_1";"T1563_2";"T1563_3";"T1563_4";"T1564_1";"T1564_2";"T1564_3";"T1564_4";"T1564_5";"T1564_6";"T1565_1";"T1565_2";"T1565_3";"T1565_4";"T1565_5";"T1565_6";"T1566_1";"T1566_2";"T1566_3";"T1566_4";"T1566_5";"T1566_6";"T1566_7";"T1567_1";"T1567_2";"T1567_3";"T1567_4";"T1567_5";"T1567_6";"T1568_1";"T1568_2";"T1568_3";"T1568_4";"T1568_5";"T1568_6";"T1568_7";"T1568_8";"T1569_1";"T1569_2";"T1569_3";"T1569_4";"T1569_5";"T1569_6";"T1569_7";"T1569_8";"T1569_9";"T1569_10";"T1569_11";"T1569_12";"T1569_13";"T1570_1";"T1570_2";"T1570_3";"T1570_4";"T1570_5";"T1570_6";"T1570_7";"T1570_8";"T1570_9";"T1570_10";"T1570_11";"T1570_12";"T1570_13";"T1571_1";"T1571_2";"T1571_3";"T1571_4";"T1571_5";"T1572_1";"T1572_2";"T1572_3";"T1572_4";"T1572_5";"T1572_6";"T1572_7";"T1572_8";"T1573_1";"T1573_2";"T1573_3";"T1573_4";"T1573_5";"T1573_6";"T1573_7";"T1573_8";"T1573_9";"T1574_1";"T1574_2";"T1574_3";"T1574_4";"T1574_5";"T1574_6";"T1575_1";"T1575_2";"T1575_3";"T1575_4";"T1576_1";"T1576_2";"T1576_3";"T1576_4";"T1576_5";"T1576_6";"T1576_7";"T1576_8";"T1576_9";"T1577_1";"T1577_2";"T1577_3";"T1577_4";"T1577_5";"T1577_6";"T1577_7";"T1577_8";"T1577_9";"T1577_10";"T1577_11";"T1577_12";"T1577_13";"T1578_1";"T1578_2";"T1578_3";"T1578_4";"T1578_5";"T1578_6";"T1578_7";"T1578_8";"T1578_9";"T1578_10";"T1578_11";"T1579_1";"T1579_2";"T1579_3";"T1579_4";"T1579_5";"T1579_6";"T1579_7";"T1579_8";"T1579_9";"T1579_10";"T1579_11";"T1579_12";"T1579_13";"T1580_1";"T1580_2";"T1580_3";"T1580_4";"T1580_5";"T1580_6";"T1580_7";"T1580_8";"T1580_9";"T1581_1";"T1581_2";"T1581_3";"T1582_1";"T1582_2";"T1582_3";"T1582_4";"T1582_5";"T1582_6";"T1582_7";"T1582_8";"T1583_1";"T1583_2";"T1583_3";"T1583_4";"T1583_5";"T1583_6";"T1583_7";"T1583_8";"T1584_1";"T1584_2";"T1584_3";"T1584_4";"T1584_5";"T1584_6";"T1584_7";"T1585_1";"T1585_2";"T1585_3";"T1585_4";"T1585_5";"T1585_6";"T1585_7";"T1585_8";"T1585_9";"T1586_1";"T1586_2";"T1586_3";"T1586_4";"T1586_5";"T1587_1";"T1587_2";"T1587_3";"T1587_4";"T1587_5";"T1588_1";"T1588_2";"T1588_3";"T1589_1";"T1589_2";"T1589_3";"T1589_4";"T1589_5";"T1589_6";"T1589_7";"T1589_8";"T1589_9";"T1590_1";"T1590_2";"T1590_3";"T1590_4";"T1590_5";"T1590_6";"T1591_1";"T1591_2";"T1591_3";"T1591_4";"T1591_5";"T1591_6";"T1591_7";"T1591_8";"T1591_9";"T1592_1";"T1592_2";"T1592_3";"T1592_4";"T1592_5";"T1592_6";"T1592_7";"T1592_8";"T1592_9";"T1593_1";"T1593_2";"T1593_3";"T1593_4";"T1593_5";"T1594_1";"T1594_2";"T1594_3";"T1594_4";"T1595_1";"T1595_2";"T1595_3";"T1595_4";"T1595_5";"T1595_6";"T1595_7";"T1595_8";"T1595_9";"T1596_1";"T1596_2";"T1596_3";"T1597_1";"T1597_2";"T1597_3";"T1597_4";"T1597_5";"T1597_6";"T1597_7";"T1597_8";"T1597_9";"T1597_10";"T1597_11";"T1598_1";"T1598_2";"T1598_3";"T1598_4";"T1598_5";"T1598_6";"T1598_7";"T1598_8";"T1598_9";"T1598_10";"T1598_11";"T1598_12";"T1598_13";"T1599_1";"T1599_2";"T1599_3";"T1599_4";"T1599_5";"T1599_6";"T1599_7";"T1599_8";"T1599_9";"T1599_10";"T1600_1";"T1600_2";"T1600_3";"T1601_1";"T1601_2";"T1602_1";"T1603_1";"T1604_1";"T1604_2";"T1604_3";"T1605_1";"T1605_2";"T1605_3";"T1605_4";"T1606_1";"T1606_2";"T1606_3";"T1606_4";"T1606_5";"T1606_6";"T1606_7";"T1606_8";"T1606_9";"T1606_10";"T1606_11";"T1606_12";"T1606_13";"T1606_14";"T1606_15";"T1606_16";"T1606_17";"T1606_18";"T1606_19";"T1606_20"
"Valantia muralis L.";;;;;;;;".";"+";".";".";".";".";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bromus squarrosus L.";;;;;;;;".";".";".";".";".";"+";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bupleurum baldense Turra";;;;;;;;"+";".";"+";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aethionema saxatile (L.) R. Br.";;;;;;;;".";"+";"+";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jasminum fruticans L.";;;;;;;;".";"+";".";".";"+";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Globularia alypum L.";;;;;;;;"+";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"+";"1";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bromus sterilis L.";;;;;;;;".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"."
"Seseli elatum L.";;;;;;;;".";".";".";".";".";".";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antirrhinum majus L.";;;;;;;;".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Senecio gallicus Chaix";;;;;;;;".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Muscari comosum (L.) Miller";;;;;;;;".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cistus albidus L.";;;;;;;;".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Helianthemum hirtum (L.) Miller";;;;;;;;"+";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Galium verticillatum Danth.";;;;;;;;".";".";".";".";"+";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rubus coesius";;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";".";"1";"1";"2";".";;;;;;;;;;;;;;;;;;;;
"Carex remota L.";;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;
"Stachys silvaticus";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";"+";".";;;;;;;;;;;;;;;;;;;;
"Listera ovata (L.) R. Br.";;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
